08 Feb 21:58:17 ::  Train Loss Prior: 3.135387236767627
08 Feb 21:58:33 ::  Train Loss Prior: 3.1121929328479068
08 Feb 21:58:48 ::  Train Loss Prior: 3.078640580788637
08 Feb 21:59:04 ::  Train Loss Prior: 3.044441283048697
08 Feb 21:59:18 ::  Train Loss Prior: 3.0211483169310163
08 Feb 21:59:33 ::  Train Loss Prior: 3.0033384422654086
08 Feb 21:59:49 ::  Train Loss Prior: 2.993101678608696
08 Feb 22:00:05 ::  Train Loss Prior: 2.9862956899037294
08 Feb 22:00:21 ::  Train Loss Prior: 2.9797967215564762
08 Feb 22:00:38 ::  Train Loss Prior: 2.9780678880324056
08 Feb 22:00:55 ::  Train Loss Prior: 2.973911257477494
08 Feb 22:01:12 ::  Train Loss Prior: 2.9705494780625616
08 Feb 22:01:29 ::  Train Loss Prior: 2.965671321021186
08 Feb 22:01:49 ::  Train Loss Prior: 2.963848859462155
08 Feb 22:02:07 ::  Train Loss Prior: 2.9630422378197694
08 Feb 22:02:26 ::  Train Loss Prior: 2.961644199715943
08 Feb 22:02:43 ::  Train Loss Prior: 2.9589921433078357
08 Feb 22:03:02 ::  Train Loss Prior: 2.9563392209418025
08 Feb 22:03:20 ::  Train Loss Prior: 2.954281234358209
08 Feb 22:03:39 ::  Train Loss Prior: 2.9507386816348955
08 Feb 22:03:57 ::  Train Loss Prior: 2.9478084292522695
08 Feb 22:04:16 ::  Train Loss Prior: 2.947227503604816
08 Feb 22:04:35 ::  Train Loss Prior: 2.9443577882897762
08 Feb 22:04:58 ::  Train Loss Prior: 2.942301647107404
08 Feb 22:05:21 ::  Train Loss Prior: 2.942200325347565
08 Feb 22:05:40 ::  Train Loss Prior: 2.9375758797144718
08 Feb 22:06:01 ::  Train Loss Prior: 2.9352647823946816
08 Feb 22:06:22 ::  Train Loss Prior: 2.933551755357296
08 Feb 22:06:45 ::  Train Loss Prior: 2.9323464029757402
08 Feb 22:07:08 ::  Train Loss Prior: 2.929891897956666
08 Feb 22:07:30 ::  Train Loss Prior: 2.9287055654557865
08 Feb 22:07:54 ::  Train Loss Prior: 2.9249684618623464
08 Feb 22:08:19 ::  Train Loss Prior: 2.9238078729311625
08 Feb 22:08:43 ::  Train Loss Prior: 2.9230110016241913
08 Feb 22:09:06 ::  Train Loss Prior: 2.918993612130483
08 Feb 22:09:29 ::  Train Loss Prior: 2.916002920911282
08 Feb 22:09:55 ::  Train Loss Prior: 2.9116014806454458
08 Feb 22:10:20 ::  Train Loss Prior: 2.9093294077449374
08 Feb 22:10:45 ::  Train Loss Prior: 2.9085474695478166
08 Feb 22:11:09 ::  Train Loss Prior: 2.910368591280126
