08 Feb 21:58:17 ::  Train Loss Value: 16.33232761697566
08 Feb 21:58:33 ::  Train Loss Value: 11.568580282920317
08 Feb 21:58:48 ::  Train Loss Value: 7.886167959066538
08 Feb 21:59:04 ::  Train Loss Value: 4.189271314060269
08 Feb 21:59:18 ::  Train Loss Value: 1.596132579711404
08 Feb 21:59:33 ::  Train Loss Value: 0.8357789110645507
08 Feb 21:59:49 ::  Train Loss Value: 0.6727853012743635
08 Feb 22:00:05 ::  Train Loss Value: 0.5999730635805153
08 Feb 22:00:21 ::  Train Loss Value: 0.5598548625674203
08 Feb 22:00:38 ::  Train Loss Value: 0.5322366542772415
08 Feb 22:00:55 ::  Train Loss Value: 0.5140031174093753
08 Feb 22:01:12 ::  Train Loss Value: 0.5009412112246666
08 Feb 22:01:29 ::  Train Loss Value: 0.4915436660912302
08 Feb 22:01:49 ::  Train Loss Value: 0.48833007316662236
08 Feb 22:02:07 ::  Train Loss Value: 0.4892461772084746
08 Feb 22:02:26 ::  Train Loss Value: 0.4796853229215666
08 Feb 22:02:43 ::  Train Loss Value: 0.501322310325528
08 Feb 22:03:02 ::  Train Loss Value: 0.48932588357984286
08 Feb 22:03:20 ::  Train Loss Value: 0.4806838789917379
08 Feb 22:03:39 ::  Train Loss Value: 0.47104189756948484
08 Feb 22:03:57 ::  Train Loss Value: 0.46092923242569894
08 Feb 22:04:16 ::  Train Loss Value: 0.4529566096562992
08 Feb 22:04:35 ::  Train Loss Value: 0.4462637141460681
08 Feb 22:04:58 ::  Train Loss Value: 0.447599991007631
08 Feb 22:05:21 ::  Train Loss Value: 0.44880703337244937
08 Feb 22:05:40 ::  Train Loss Value: 0.45373281804348925
08 Feb 22:06:01 ::  Train Loss Value: 0.45033893577887546
08 Feb 22:06:22 ::  Train Loss Value: 0.4453931470130775
08 Feb 22:06:45 ::  Train Loss Value: 0.44658285361237643
08 Feb 22:07:08 ::  Train Loss Value: 0.43915267602728086
08 Feb 22:07:30 ::  Train Loss Value: 0.4326632360015253
08 Feb 22:07:54 ::  Train Loss Value: 0.4282364538251954
08 Feb 22:08:19 ::  Train Loss Value: 0.4297597984721263
08 Feb 22:08:43 ::  Train Loss Value: 0.43444308570619516
08 Feb 22:09:06 ::  Train Loss Value: 0.4268036439584998
08 Feb 22:09:29 ::  Train Loss Value: 0.4234800063710235
08 Feb 22:09:55 ::  Train Loss Value: 0.41941831931238266
08 Feb 22:10:20 ::  Train Loss Value: 0.41943170006076497
08 Feb 22:10:45 ::  Train Loss Value: 0.41383444241567946
08 Feb 22:11:09 ::  Train Loss Value: 0.42108743233022405
08 Feb 22:11:36 ::  Train Loss Value: 0.4157820948173661
08 Feb 22:12:03 ::  Train Loss Value: 0.4353069107403908
08 Feb 22:12:28 ::  Train Loss Value: 0.435939654729196
08 Feb 22:12:57 ::  Train Loss Value: 0.4363059954833513
08 Feb 22:13:26 ::  Train Loss Value: 0.43291718223491193
08 Feb 22:13:56 ::  Train Loss Value: 0.43513862643349954
08 Feb 22:14:24 ::  Train Loss Value: 0.4306568122817821
08 Feb 22:14:52 ::  Train Loss Value: 0.4291960992199439
08 Feb 22:15:23 ::  Train Loss Value: 0.424793677876393
08 Feb 22:15:55 ::  Train Loss Value: 0.44473038382303
